,0
0,"Rape, Racism and the Myth of the Black Rapist"
1,she exclaimed with deliberately racist arrogance.
2,"DuBois observed: It is always difficult to stop war, and doubly difficult to stop civil war."
3,"Viewed as 'loose women' and whores, Black women's cries of rape would necessarily lack legitimacy."
4,Rape the white girls.
