,0
0,"Because of her family's wealth, she enjoyed unique educational opportunities."
1,It rose like perfume like a prayer.
2,We thank him for his many blessings.
3,"Of course, the 'good' servant is always faithful, trustworthy and grateful."
4,"She was one of America's truly great women, fearless, and devoted to the working class."
