author,individual,collective,neg,neu,pos,x_axis,y_axis
Aristotle,0.40346425128582813,0.5965357487141724,0.055823965799069515,0.8439354960392288,0.10023840060354583,0.09653574871417236,0.044414434804476315
Beauvoir,0.5556206688673502,0.44437933113265,0.08058075221238938,0.8009596238938058,0.11846331120943944,-0.05562066886735001,0.037882558997050064
Berkeley,0.26338199513382,0.7366180048661801,0.05972627737226277,0.8449525547445256,0.0953284671532846,0.23661800486618012,0.03560218978102182
Davis,0.16496662216288382,0.8350333778371162,0.1080685358255453,0.8146031152647969,0.07734080996884739,0.3350333778371162,-0.03072772585669792
Deleuze,0.3096893791646351,0.6903106208353649,0.05325085324232079,0.8827406143344713,0.06400767918088736,0.19031062083536487,0.01075682593856657
Derrida,0.39826175869120656,0.6017382413087935,0.05314723926380367,0.8751042944785274,0.07176687116564417,0.1017382413087935,0.018619631901840503
Descartes,0.12115768463073853,0.8788423153692614,0.04947305389221558,0.8349700598802396,0.1155688622754491,0.3788423153692614,0.06609580838323352
Epictetus,0.5892857142857143,0.4107142857142857,0.10751785714285715,0.792267857142857,0.10023214285714287,-0.0892857142857143,-0.007285714285714284
Fichte,0.2909646514701024,0.7090353485298977,0.04382656095143707,0.8637908820614468,0.092388503468781,0.2090353485298977,0.04856194251734393
Foucault,0.3055490935579758,0.6944509064420242,0.0834011843079201,0.8385584752035525,0.07803219837157661,0.19445090644202423,-0.005368985936343482
Hegel,0.14797862001943635,0.8520213799805637,0.041181341107871756,0.8725737609329451,0.08624956268221572,0.3520213799805637,0.04506822157434396
Heidegger,0.1417334045203773,0.858266595479623,0.03153016550987718,0.913924719701013,0.05453657234383344,0.35826659547962303,0.02300640683395626
Hume,0.28034024745269276,0.7196597525473072,0.06637172489082965,0.7979410480349345,0.13569705240174668,0.21965975254730719,0.06932532751091702
Husserl,0.09128868187172075,0.908711318128279,0.022106713780918736,0.9128134275618388,0.06508621908127209,0.408711318128279,0.042979505300353354
Kant,0.12302276234567902,0.8769772376543209,0.03420833333333334,0.8703246527777779,0.09545428240740726,0.3769772376543209,0.06124594907407392
Keynes,0.18412990196078433,0.8158700980392156,0.05505147058823527,0.8462205882352943,0.09870220588235296,0.3158700980392156,0.043650735294117685
Kripke,0.443780676827693,0.5562193231723069,0.03534900542495477,0.9084041591320083,0.056241410488245915,0.056219323172306934,0.020892405063291146
Leibniz,0.3127503337783712,0.6872496662216292,0.07913217623497999,0.7677823765020023,0.15308411214953246,0.1872496662216292,0.07395193591455247
Lenin,0.027401746724890833,0.9725982532751091,0.06472780203784566,0.8651266375545856,0.0701455604075691,0.47259825327510907,0.005417758369723441
Lewis,0.17606728866270852,0.8239327113372915,0.03257506361323154,0.8955572519083966,0.07187446988973697,0.3239327113372915,0.03929940627650543
Locke,0.30925532163128644,0.6907446783687136,0.05550238882763703,0.8556457184858519,0.08885079015067997,0.19074467836871356,0.03334840132304294
Malebranche,0.24835280641466215,0.7516471935853379,0.06911917525773191,0.806794226804124,0.12408989690721654,0.25164719358533794,0.05497072164948463
Marcus Aurelius,0.45624219725343323,0.5437578027465669,0.06510112359550559,0.8364981273408241,0.09838951310861416,0.04375780274656693,0.03328838951310857
Marx,0.18454376163873368,0.8154562383612665,0.04554443880142198,0.8845698324022343,0.06988369730827822,0.31545623836126646,0.02433925850685624
Merleau-Ponty,0.19138044914134741,0.8086195508586528,0.03550132100396298,0.909241083223249,0.05525891677675042,0.3086195508586528,0.01975759577278744
Moore,0.4250450450450451,0.574954954954955,0.03835405405405404,0.8683189189189195,0.09332162162162164,0.07495495495495497,0.0549675675675676
Nietzsche,0.3977062417487951,0.6022937582512051,0.08355512572533845,0.790889748549323,0.12555241779497095,0.10229375825120512,0.0419972920696325
Plato,0.3703462785625806,0.6296537214374189,0.07048110612422195,0.8038348052700154,0.12568698421890856,0.12965372143741893,0.055205878094686606
Popper,0.08833333333333332,0.9116666666666666,0.04241000000000002,0.8856900000000002,0.07186,0.4116666666666666,0.029449999999999976
Quine,0.45979899497487436,0.5402010050251256,0.02510804020100501,0.9153542713567836,0.05953266331658292,0.04020100502512558,0.03442462311557791
Ricardo,0.09840579710144927,0.9015942028985509,0.04185391304347824,0.8574521739130435,0.1006886956521739,0.40159420289855086,0.058834782608695665
Russell,0.33405333333333326,0.6659466666666667,0.044836799999999996,0.8953072000000002,0.05985440000000003,0.1659466666666667,0.015017600000000034
Smith,0.12773861474767814,0.8722613852523213,0.047659281638133585,0.837806982208794,0.11453474320241684,0.37226138525232133,0.06687546156428326
Spinoza,0.4159471022948269,0.5840528977051731,0.06991948658109685,0.8091306884480741,0.12093582263710616,0.0840528977051731,0.051016336056009304
Wittgenstein,0.36154022988505746,0.6384597701149426,0.03531310344827586,0.9072579310344819,0.057435862068965525,0.1384597701149426,0.022122758620689666
Wollstonecraft,0.31509788146956275,0.6849021185304368,0.07494288012872094,0.7754794851166531,0.14958728881737723,0.1849021185304368,0.0746444086886563
